Loc,River,City,N_lat,N_long,E_lat,E_long,S_lat,S_long,W_lat,W_long
Alabama,FALSE,FALSE,34.9916,-86.8260,32.2600,-84.8902,30.2295,-87.8307,31.8935,-88.4731
Amu_darya,TRUE,FALSE,40.5924,62.1156,40.5924,62.1156,40.5924,62.1156,40.5924,62.1156
Amur_river,TRUE,FALSE,53.2024,124.9597,53.2024,124.9597,53.2024,124.9597,53.2024,124.9597
Arkansas,FALSE,FALSE,36.4984,-92.1840,35.8885,-89.6592,33.0136,-92.6253,36.4986,-94.6168
Balkhash,FALSE,FALSE,45.7665,74.2302,45.7665,74.2302,45.7665,74.2302,45.7665,74.2302
Balyktchy ,FALSE,FALSE,41.3000,69.2667,41.3000,69.2667,41.3000,69.2667,41.3000,69.2667
Cen_China,FALSE,FALSE,36.3409,113.7435,33.9289,116.6342,24.6510,111.5399,29.8351,108.3835
Cen_Russia,FALSE,FALSE,59.6164,46.8108,58.9169,47.6413,49.6134,40.4627,52.3276,31.5833
CenE_China,FALSE,FALSE,38.2408,117.8760,37.2021,122.6262,23.6151,117.2444,29.8327,108.3788
CenSouth_China,FALSE,FALSE,36.3409,113.7435,23.6233,117.1854,18.1588,109.5777,24.6445,104.4918
CenSouth_Russia,FALSE,FALSE,59.6164,46.8108,58.9169,47.6413,41.1892,47.7805,52.3276,31.5833
Cuba,FALSE,FALSE,21.5079,-77.8094,21.5079,-77.8094,21.5079,-77.8094,21.5079,-77.8094
Cuttack,FALSE,TRUE,20.4625,85.8830,20.4625,85.8830,20.4625,85.8830,20.4625,85.8830
Daghestan_Terek,TRUE,FALSE,43.7707,47.0561,43.7707,47.0561,43.7707,47.0561,43.7707,47.0561
Dnieper,TRUE,FALSE,51.2448,30.7250,51.2448,30.7250,51.2448,30.7250,51.2448,30.7250
Dor,FALSE,TRUE,32.6074,34.9220,32.6074,34.9220,32.6074,34.9220,32.6074,34.9220
